CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
61041,10000312169,2010312169,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/06/2010 12:23:00 PM,14XX BLOCK OF BOREN AVE,D,D3,8300.2007,-122.328459045,47.612969068,"(47.612969068, -122.328459045)",,,,
61273,10000312600,2010312600,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/06/2010 08:12:00 PM,28XX BLOCK OF S GRAHAM ST,S,S1,10400.3010,-122.296353052,47.5462666,"(47.5462666, -122.296353052)",,,,
61296,10000312392,2010312392,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/06/2010 06:50:00 PM,17XX BLOCK OF 24TH AVE S,R,R1,9500.6032,-122.301300472,47.587596077,"(47.587596077, -122.301300472)",,,,
61325,10000312528,2010312528,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/06/2010 07:52:00 PM,117XX BLOCK OF AURORA AVE N,N,N1,402.2005,-122.344896102,47.717174471,"(47.717174471, -122.344896102)",,,,
61852,10000313604,2010313604,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/07/2010 04:23:00 PM,110XX BLOCK OF ROOSEVELT WAY NE,L,L2,1200.3000,-122.317865044,47.709387908,"(47.709387908, -122.317865044)",,,,
62524,10000314333,2010314333,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/08/2010 05:28:00 AM,3XX BLOCK OF S HOLGATE ST,O,O2,9300.2029,-122.329520587,47.586170251,"(47.586170251, -122.329520587)",,,,
63821,10000316139,2010316139,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/09/2010 03:31:00 PM,1XX BLOCK OF EASTLAKE AVE E,D,D2,7300.2000,-122.329131558,47.619124732,"(47.619124732, -122.329131558)",,,,
64547,10000317202,2010317202,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/10/2010 11:29:00 AM,20XX BLOCK OF 3RD AVE,M,M2,8002.1001,-122.341542601,47.612782411,"(47.612782411, -122.341542601)",,,,
64815,10000317725,2010317725,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/10/2010 06:03:00 PM,72XX BLOCK OF 50TH AVE NE,L,L3,4000.2002,-122.274362872,47.682124016,"(47.682124016, -122.274362872)",,,,
65530,10000318692,2010318692,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/11/2010 01:31:00 PM,2XX BLOCK OF CHERRY ST,K,K2,8100.2029,-122.332617243,47.603251637,"(47.603251637, -122.332617243)",,,,
65678,10000318906,2010318906,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/11/2010 05:11:00 PM,45XX BLOCK OF FAUNTLEROY WAY SW,W,W2,10500.6010,-122.38080264,47.561714821,"(47.561714821, -122.38080264)",,,,
66751,10000320208,2010320208,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/12/2010 08:33:00 PM,XX BLOCK OF NE 50TH ST,U,U3,4400.3007,-122.309575487,47.664876413,"(47.664876413, -122.309575487)",,,,
67387,10000321504,2010321504,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/13/2010 08:22:00 PM,6XX BLOCK OF S WELLER ST,K,K2,9100.2007,-122.324734263,47.597512351,"(47.597512351, -122.324734263)",,,,
67870,10000321947,2010321947,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/14/2010 07:14:00 AM,73XX BLOCK OF BLAKE PL SW,W,W3,11600.6010,-122.390897902,47.537508868,"(47.537508868, -122.390897902)",,,,
68225,10000322603,2010322603,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/14/2010 07:58:00 PM,43XX BLOCK OF SW 104TH ST,W,W3,12000.3004,-122.387656642,47.510080339,"(47.510080339, -122.387656642)",,,,
68511,10000322987,2010322987,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/14/2010 11:00:00 PM,7XX BLOCK OF JOHN ST,D,D1,7200.1039,-122.341739126,47.619717144,"(47.619717144, -122.341739126)",,,,
70164,10000325386,2010325386,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/16/2010 09:50:00 PM,94XX BLOCK OF 16TH AVE SW,F,F2,11400.4015,-122.355154778,47.518278026,"(47.518278026, -122.355154778)",,,,
70943,10000326478,2010326478,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/17/2010 09:40:00 PM,9XX BLOCK OF UNION ST,D,D3,8200.3003,-122.329670741,47.611774826,"(47.611774826, -122.329670741)",,,,
71131,10000326958,2010326958,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/18/2010 04:06:00 AM,8XX BLOCK OF 19TH AVE S,G,G2,9400.2014,-122.307292468,47.595190473,"(47.595190473, -122.307292468)",,,,
71716,10000327897,2010327897,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/19/2010 12:08:00 AM,5XX BLOCK OF E REPUBLICAN ST,E,E1,7400.7007,-122.324671245,47.623139552,"(47.623139552, -122.324671245)",,,,
71850,10000328066,2010328066,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/19/2010 03:01:00 AM,13XX BLOCK OF E PINE ST,C,C2,7500.2009,-122.31489548,47.615277436,"(47.615277436, -122.31489548)",,,,
74230,10000331204,2010331204,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/21/2010 08:55:00 PM,3XX BLOCK OF E THOMAS ST,E,E1,7400.7005,-122.327219799,47.620828886,"(47.620828886, -122.327219799)",,,,
74430,10000331683,2010331683,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/22/2010 06:50:00 AM,XX BLOCK OF DENNY WAY,Q,Q3,7100.2019,-122.356104719,47.618604565,"(47.618604565, -122.356104719)",,,,
76095,10000334135,2010334135,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/24/2010 07:41:00 AM,XX BLOCK OF AIRPORT WAY S,K,K3,9300.1017,-122.323289443,47.591508773,"(47.591508773, -122.323289443)",,,,
76466,10000334616,2010334616,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/24/2010 04:32:00 PM,17XX BLOCK OF BROADWAY,E,E1,8400.1000,-122.320826476,47.616987304,"(47.616987304, -122.320826476)",,,,
77839,10000336697,2010336697,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/26/2010 12:28:00 PM,11XX BLOCK OF E SPRUCE ST,E,E3,8600.3001,-122.317442179,47.603515346,"(47.603515346, -122.317442179)",,,,
77946,10000336791,2010336791,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/26/2010 01:57:00 PM,2XX BLOCK OF BELL ST,M,M2,8001.2008,-122.345223492,47.614372206,"(47.614372206, -122.345223492)",,,,
80274,10000340239,2010340239,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/29/2010 04:00:00 AM,1XX BLOCK OF 8TH AVE,E,E3,8500.2018,-122.322487033,47.60225158,"(47.60225158, -122.322487033)",,,,
81585,10000342262,2010342262,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,09/30/2010 04:45:00 PM,3XX BLOCK OF 9TH AVE,E,E3,8500.2011,-122.323443932,47.604128073,"(47.604128073, -122.323443932)",,,,
82707,10000343853,2010343853,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/01/2010 08:52:00 PM,8XX BLOCK OF STEWART ST,D,D2,7300.2009,-122.334865851,47.6152845,"(47.6152845, -122.334865851)",,,,
83208,10000344543,2010344543,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/02/2010 11:58:00 AM,23XX BLOCK OF NE 103RD ST,L,L2,1100.2010,-122.303382365,47.702991193,"(47.702991193, -122.303382365)",,,,
83230,10000344740,2010344740,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/02/2010 02:08:00 PM,9XX BLOCK OF E PIKE ST,E,E2,7500.4009,-122.320113575,47.614080416,"(47.614080416, -122.320113575)",,,,
83278,10000344760,2010344760,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/02/2010 03:33:00 PM,41XX BLOCK OF 48TH AVE SW,W,W2,9702.2014,-122.393466818,47.565711286,"(47.565711286, -122.393466818)",,,,
83526,10000344968,2010344968,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/02/2010 06:39:00 PM,9XX BLOCK OF JOHN ST,D,D2,7300.3015,-122.339126919,47.619707982,"(47.619707982, -122.339126919)",,,,
83723,10000345266,2010345266,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/02/2010 11:11:00 PM,1XX BLOCK OF BROADWAY E,E,E1,7400.3005,-122.320863687,47.619323644,"(47.619323644, -122.320863687)",,,,
84710,10000346682,2010346682,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/04/2010 06:58:00 AM,16XX BLOCK OF S WELLER ST,G,G2,9000.2008,-122.310278118,47.597486471,"(47.597486471, -122.310278118)",,,,
86846,10000350072,2010350072,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/06/2010 07:06:00 PM,19XX BLOCK OF BOREN AVE,D,D2,7300.2011,-122.333368028,47.617329291,"(47.617329291, -122.333368028)",,,,
87489,10000349607,2010349607,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/06/2010 12:11:00 PM,19XX BLOCK OF BOREN AVE,D,D2,7300.2011,-122.333368028,47.617329291,"(47.617329291, -122.333368028)",,,,
87778,10000351211,2010351211,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/07/2010 04:54:00 PM,5XX BLOCK OF QUEEN ANNE AVE N,Q,Q3,7100.2003,-122.356714541,47.623929893,"(47.623929893, -122.356714541)",,,,
89199,10000353196,2010353196,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/09/2010 04:42:00 AM,XX BLOCK OF MARTIN LUTHER KING JR WAY S,S,S1,11000.1011,-122.281736013,47.537963086,"(47.537963086, -122.281736013)",,,,
89535,10000353762,2010353762,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/09/2010 06:39:00 PM,14XX BLOCK OF BROADWAY,E,E2,8400.1017,-122.320771373,47.613519515,"(47.613519515, -122.320771373)",,,,
90070,10000354531,2010354531,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/10/2010 02:12:00 PM,4XX BLOCK OF E LORETTA PL,E,E1,7400.5002,-122.325936741,47.619219556,"(47.619219556, -122.325936741)",,,,
90660,10000355546,2010355546,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/11/2010 10:10:00 AM,17XX BLOCK OF N 133RD ST,N,N1,600.1014,-122.334864933,47.725030368,"(47.725030368, -122.334864933)",,,,
90875,10000355915,2010355915,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/11/2010 03:32:00 PM,20XX BLOCK OF 3RD AVE,M,M2,8002.1001,-122.341542601,47.612782411,"(47.612782411, -122.341542601)",,,,
91897,10000357385,2010357385,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/12/2010 07:49:00 PM,58XX BLOCK OF LAKE WASHINGTON BLVD S,R,R3,10200.1003,-122.258073018,47.550616959,"(47.550616959, -122.258073018)",,,,
92580,10000358261,2010358261,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/13/2010 11:51:00 AM,17XX BLOCK OF N 133RD ST,N,N1,600.1014,-122.334864933,47.725030368,"(47.725030368, -122.334864933)",,,,
94502,10000360989,2010360989,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/15/2010 01:24:00 PM,13XX BLOCK OF BOREN AVE,D,D3,8300.2009,-122.327550897,47.611975666,"(47.611975666, -122.327550897)",,,,
94844,10000361474,2010361474,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/15/2010 10:40:00 PM,95XX BLOCK OF AURORA AVE N,N,N3,1300.2008,-122.344612333,47.698170963,"(47.698170963, -122.344612333)",,,,
95654,10000362735,2010362735,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/16/2010 11:39:00 PM,14XX BLOCK OF S HOLGATE ST,O,O1,9400.4001,-122.314015589,47.586364905,"(47.586364905, -122.314015589)",,,,
95944,10000363227,2010363227,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/17/2010 05:55:00 AM,11XX BLOCK OF S MYRTLE ST,O,O3,10900.1020,-122.319781431,47.539433617,"(47.539433617, -122.319781431)",,,,
96098,10000363542,2010363542,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/17/2010 04:22:00 PM,6XX BLOCK OF QUEEN ANNE AVE N,Q,Q3,7000.5006,-122.356705965,47.625018566,"(47.625018566, -122.356705965)",,,,
96806,10000364548,2010364548,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/18/2010 02:54:00 PM,40XX BLOCK OF STONE WAY N,J,J3,5400.5002,-122.342425875,47.655655013,"(47.655655013, -122.342425875)",,,,
96962,10000364398,2010364398,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/18/2010 04:39:00 PM,15XX BLOCK OF 12TH AVE S,O,O1,9300.1011,-122.317278136,47.589212288,"(47.589212288, -122.317278136)",,,,
97263,10000365155,2010365155,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/19/2010 01:56:00 AM,97XX BLOCK OF 34TH AVE SW,W,W3,12000.1002,-122.375468162,47.515186752,"(47.515186752, -122.375468162)",,,,
99249,10000368325,2010368325,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/21/2010 02:53:00 PM,9XX BLOCK OF TERRY AVE,D,D3,8300.1003,-122.325923744,47.608516466,"(47.608516466, -122.325923744)",,,,
100624,10000370154,2010370154,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,10/22/2010 11:31:00 PM,16XX BLOCK OF SUMMIT AVE,E,E2,8400.1004,-122.325535942,47.615780239,"(47.615780239, -122.325535942)",,,,
