"","CAD.CDW.ID","CAD.Event.Number","General.Offense.Number","Event.Clearance.Code","Event.Clearance.Description","Event.Clearance.SubGroup","Event.Clearance.Group","Date","Time","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract","Longitude","Latitude","Incident.Location","Initial.Type.Description","Initial.Type.Subgroup","Initial.Type.Group","At.Scene.Time","month","year"
"53",70164,10000325386,2010325386,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-16,"09:50:00 PM","94XX BLOCK OF 16TH AVE SW","F","F2",11400.4015,-122.355154778,47.518278026,"(47.518278026, -122.355154778)","","","","","September",2010
"54",70943,10000326478,2010326478,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-17,"09:40:00 PM","9XX BLOCK OF UNION ST","D","D3",8200.3003,-122.329670741,47.611774826,"(47.611774826, -122.329670741)","","","","","September",2010
"55",71131,10000326958,2010326958,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-18,"04:06:00 AM","8XX BLOCK OF 19TH AVE S","G","G2",9400.2014,-122.307292468,47.595190473,"(47.595190473, -122.307292468)","","","","","September",2010
"56",71716,10000327897,2010327897,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-19,"12:08:00 AM","5XX BLOCK OF E REPUBLICAN ST","E","E1",7400.7007,-122.324671245,47.623139552,"(47.623139552, -122.324671245)","","","","","September",2010
"57",71850,10000328066,2010328066,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-19,"03:01:00 AM","13XX BLOCK OF E PINE ST","C","C2",7500.2009,-122.31489548,47.615277436,"(47.615277436, -122.31489548)","","","","","September",2010
"58",74230,10000331204,2010331204,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-21,"08:55:00 PM","3XX BLOCK OF E THOMAS ST","E","E1",7400.7005,-122.327219799,47.620828886,"(47.620828886, -122.327219799)","","","","","September",2010
"59",74430,10000331683,2010331683,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-22,"06:50:00 AM","XX BLOCK OF DENNY WAY","Q","Q3",7100.2019,-122.356104719,47.618604565,"(47.618604565, -122.356104719)","","","","","September",2010
"60",76095,10000334135,2010334135,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-24,"07:41:00 AM","XX BLOCK OF AIRPORT WAY S","K","K3",9300.1017,-122.323289443,47.591508773,"(47.591508773, -122.323289443)","","","","","September",2010
"61",76466,10000334616,2010334616,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-24,"04:32:00 PM","17XX BLOCK OF BROADWAY","E","E1",8400.1,-122.320826476,47.616987304,"(47.616987304, -122.320826476)","","","","","September",2010
"62",77839,10000336697,2010336697,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-26,"12:28:00 PM","11XX BLOCK OF E SPRUCE ST","E","E3",8600.3001,-122.317442179,47.603515346,"(47.603515346, -122.317442179)","","","","","September",2010
"63",77946,10000336791,2010336791,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-26,"01:57:00 PM","2XX BLOCK OF BELL ST","M","M2",8001.2008,-122.345223492,47.614372206,"(47.614372206, -122.345223492)","","","","","September",2010
"64",80274,10000340239,2010340239,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-29,"04:00:00 AM","1XX BLOCK OF 8TH AVE","E","E3",8500.2018,-122.322487033,47.60225158,"(47.60225158, -122.322487033)","","","","","September",2010
"65",81585,10000342262,2010342262,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-09-30,"04:45:00 PM","3XX BLOCK OF 9TH AVE","E","E3",8500.2011,-122.323443932,47.604128073,"(47.604128073, -122.323443932)","","","","","September",2010
"66",82707,10000343853,2010343853,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-01,"08:52:00 PM","8XX BLOCK OF STEWART ST","D","D2",7300.2009,-122.334865851,47.6152845,"(47.6152845, -122.334865851)","","","","","October",2010
"67",83208,10000344543,2010344543,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-02,"11:58:00 AM","23XX BLOCK OF NE 103RD ST","L","L2",1100.201,-122.303382365,47.702991193,"(47.702991193, -122.303382365)","","","","","October",2010
"68",83230,10000344740,2010344740,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-02,"02:08:00 PM","9XX BLOCK OF E PIKE ST","E","E2",7500.4009,-122.320113575,47.614080416,"(47.614080416, -122.320113575)","","","","","October",2010
"69",83278,10000344760,2010344760,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-02,"03:33:00 PM","41XX BLOCK OF 48TH AVE SW","W","W2",9702.2014,-122.393466818,47.565711286,"(47.565711286, -122.393466818)","","","","","October",2010
"70",83526,10000344968,2010344968,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-02,"06:39:00 PM","9XX BLOCK OF JOHN ST","D","D2",7300.3015,-122.339126919,47.619707982,"(47.619707982, -122.339126919)","","","","","October",2010
"71",83723,10000345266,2010345266,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-02,"11:11:00 PM","1XX BLOCK OF BROADWAY E","E","E1",7400.3005,-122.320863687,47.619323644,"(47.619323644, -122.320863687)","","","","","October",2010
"72",84710,10000346682,2010346682,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-04,"06:58:00 AM","16XX BLOCK OF S WELLER ST","G","G2",9000.2008,-122.310278118,47.597486471,"(47.597486471, -122.310278118)","","","","","October",2010
"73",86846,10000350072,2010350072,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-06,"07:06:00 PM","19XX BLOCK OF BOREN AVE","D","D2",7300.2011,-122.333368028,47.617329291,"(47.617329291, -122.333368028)","","","","","October",2010
"74",87489,10000349607,2010349607,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-06,"12:11:00 PM","19XX BLOCK OF BOREN AVE","D","D2",7300.2011,-122.333368028,47.617329291,"(47.617329291, -122.333368028)","","","","","October",2010
"75",87778,10000351211,2010351211,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-07,"04:54:00 PM","5XX BLOCK OF QUEEN ANNE AVE N","Q","Q3",7100.2003,-122.356714541,47.623929893,"(47.623929893, -122.356714541)","","","","","October",2010
"76",89199,10000353196,2010353196,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-09,"04:42:00 AM","XX BLOCK OF MARTIN LUTHER KING JR WAY S","S","S1",11000.1011,-122.281736013,47.537963086,"(47.537963086, -122.281736013)","","","","","October",2010
"77",89535,10000353762,2010353762,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-09,"06:39:00 PM","14XX BLOCK OF BROADWAY","E","E2",8400.1017,-122.320771373,47.613519515,"(47.613519515, -122.320771373)","","","","","October",2010
"78",90070,10000354531,2010354531,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-10,"02:12:00 PM","4XX BLOCK OF E LORETTA PL","E","E1",7400.5002,-122.325936741,47.619219556,"(47.619219556, -122.325936741)","","","","","October",2010
"79",90660,10000355546,2010355546,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-11,"10:10:00 AM","17XX BLOCK OF N 133RD ST","N","N1",600.1014,-122.334864933,47.725030368,"(47.725030368, -122.334864933)","","","","","October",2010
"80",90875,10000355915,2010355915,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-11,"03:32:00 PM","20XX BLOCK OF 3RD AVE","M","M2",8002.1001,-122.341542601,47.612782411,"(47.612782411, -122.341542601)","","","","","October",2010
"81",91897,10000357385,2010357385,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-12,"07:49:00 PM","58XX BLOCK OF LAKE WASHINGTON BLVD S","R","R3",10200.1003,-122.258073018,47.550616959,"(47.550616959, -122.258073018)","","","","","October",2010
"82",92580,10000358261,2010358261,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-13,"11:51:00 AM","17XX BLOCK OF N 133RD ST","N","N1",600.1014,-122.334864933,47.725030368,"(47.725030368, -122.334864933)","","","","","October",2010
"83",94502,10000360989,2010360989,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-15,"01:24:00 PM","13XX BLOCK OF BOREN AVE","D","D3",8300.2009,-122.327550897,47.611975666,"(47.611975666, -122.327550897)","","","","","October",2010
"84",94844,10000361474,2010361474,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-15,"10:40:00 PM","95XX BLOCK OF AURORA AVE N","N","N3",1300.2008,-122.344612333,47.698170963,"(47.698170963, -122.344612333)","","","","","October",2010
"85",95654,10000362735,2010362735,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-16,"11:39:00 PM","14XX BLOCK OF S HOLGATE ST","O","O1",9400.4001,-122.314015589,47.586364905,"(47.586364905, -122.314015589)","","","","","October",2010
"86",95944,10000363227,2010363227,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-17,"05:55:00 AM","11XX BLOCK OF S MYRTLE ST","O","O3",10900.102,-122.319781431,47.539433617,"(47.539433617, -122.319781431)","","","","","October",2010
"87",96098,10000363542,2010363542,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)","CASUALTIES","PERSON DOWN/INJURY",2010-10-17,"04:22:00 PM","6XX BLOCK OF QUEEN ANNE AVE N","Q","Q3",7000.5006,-122.356705965,47.625018566,"(47.625018566, -122.356705965)","","","","","October",2010
